,year,no_arctic_tas,arctic_tas,world_tas
0,1850,,-0.6775214827069884,
1,1851,,0.1081266951003878,
2,1852,,-0.3039454431279271,
3,1853,,-0.1000643255263731,
4,1854,,-0.1713391935992233,
5,1855,,-0.792784751609201,
6,1856,,-0.7449063287036275,
7,1857,,-0.5700224397547279,
8,1858,,-0.0885405147395005,
9,1859,,-0.4823846738443484,
10,1860,0.005717359310416318,-0.601228531573596,0.008002257059938163
11,1861,0.011318907523575592,-0.307040188118568,0.01361801596699691
12,1862,0.007536709082550758,-1.0937447410948655,0.00794643699931699
13,1863,0.0023996877840394767,-0.6036152307158226,0.0025709734228576003
14,1864,-0.0012626564051551534,-0.4864111392429671,-0.001998067922723004
15,1865,-0.006621080388619312,-0.9653773104224576,-0.007369757960271528
16,1866,-0.009974816555165321,-1.0720673445799198,-0.010266273458409128
17,1867,-0.01385846494343374,-1.173793660254256,-0.013751244648541768
18,1868,0.008176359157194177,-0.6562436628407685,0.007539543260877371
19,1869,0.027994071403329178,-0.4283801976700889,0.026649397858082607
20,1870,0.02631921005359312,-0.5571535283281243,0.024957960671033716
21,1871,0.02963618199419309,-0.901493227940084,0.028346117200647503
22,1872,0.04226745465364199,-0.5107171750466039,0.039046069411952315
23,1873,0.053241792622534326,-0.6086845176949541,0.049578371730867904
24,1874,0.05334035387616946,-0.2684023041461109,0.050670628350109284
25,1875,0.048948762112359545,-0.6359936846425353,0.04532138315115368
26,1876,0.0408409257755509,-0.6352274962281665,0.036942836917793
27,1877,0.03580336709522908,-0.499687724989867,0.032250604502077715
28,1878,0.026588383437371733,-0.0351444329045495,0.023956003258341706
29,1879,0.02123850695774903,-0.5366242060880247,0.01816558670266059
30,1880,0.024006479098479878,-0.4917029423608401,0.02106167133128872
31,1881,0.013818567862347236,-0.9936728433480686,0.01134986516251045
32,1882,0.011639574644180788,-1.0794688292065262,0.009318574679748035
33,1883,0.003076674603599261,-0.1221151104946733,-8.204990710155292e-05
34,1884,-0.004343237822339363,-1.0499069909938197,-0.007405507027063082
35,1885,-0.0085985607341767,-1.2799497119444785,-0.011741164074117178
36,1886,-0.01228803226759124,-1.0369307563871593,-0.015341159105253976
37,1887,-0.006086948132921305,-0.920484973293784,-0.00903129288381154
38,1888,-0.01786239540687352,-0.995852565719236,-0.019858342491187973
39,1889,-0.04279615639271521,-0.3204415271168514,-0.04490405872724969
40,1890,-0.043813598240597454,-0.5317856452545753,-0.046685160171811124
41,1891,-0.039379686632808324,-0.8664904869640094,-0.0426983742346007
42,1892,-0.04375987492597464,-1.101486061232717,-0.04589708137973668
43,1893,-0.051352281941628955,-0.7054791636803864,-0.053331280566680704
44,1894,-0.06135176054728375,-0.4082217245295702,-0.06337919649551885
45,1895,-0.0681488480236671,-0.6710781469541967,-0.06857066975710502
46,1896,-0.06677126046945855,-0.4596330989927067,-0.06542145227078724
47,1897,-0.06262734135653504,-0.2714480762314989,-0.0595396458361299
48,1898,-0.06425736904462495,-0.5964222623985157,-0.060330374454407185
49,1899,-0.07257319686865765,-0.8796198944337926,-0.06682201981611213
50,1900,-0.08781387683472744,-0.593117413038851,-0.08190382163365631
51,1901,-0.09048740944673661,-0.4783618718409413,-0.0845258064464585
52,1902,-0.10070365783730342,-1.1081422453331398,-0.09277596804408213
53,1903,-0.09976379347645949,-0.3476206118674122,-0.09167115599896011
54,1904,-0.09886814722283291,-0.4043144648593557,-0.09085553728230542
55,1905,-0.08798449691769049,-0.3672151507167369,-0.08064981767903709
56,1906,-0.0775900007784113,-0.1118402819863921,-0.07058557218170955
57,1907,-0.08588776136369125,-0.5456670558859572,-0.07882917936668787
58,1908,-0.09914758046573671,-0.2745834152449092,-0.09384084243553734
59,1909,-0.09636092342533203,-0.5478615694538712,-0.09204292321167824
60,1910,-0.09766250410203996,-0.546553440988767,-0.09281503201539952
61,1911,-0.10557434231626986,-0.1310979914539462,-0.09949139949280027
62,1912,-0.1048198213551638,-0.9651198517710166,-0.09783230493769658
63,1913,-0.10169420599210097,-0.7109597406032127,-0.09302101102075647
64,1914,-0.09179483875029554,-0.5033069462173061,-0.08246970519019999
65,1915,-0.07891816842412404,-0.5886601462986754,-0.06886657820089749
66,1916,-0.07367838676546029,-0.5770874652336865,-0.06348588184951637
67,1917,-0.06528402249976042,-1.3225419394483695,-0.05456282177278062
68,1918,-0.05256688203682117,-0.9917426503023772,-0.04095538470965475
69,1919,-0.03923770709202223,-0.6702842253729452,-0.026471323888280208
70,1920,-0.032989715731247794,-0.1803151917456021,-0.019570398767385904
71,1921,-0.016732523883922042,-0.0508227002148556,-0.0019151534186392636
72,1922,0.004188911084857233,-0.2695198720351425,0.01937648808373419
73,1923,0.01800289139568348,0.1418458765491246,0.03554632490996944
74,1924,0.022777132063150473,0.1921784422795054,0.04146796738211357
75,1925,0.02359291593331036,-0.2026904765476148,0.044907478691842376
76,1926,0.02113786108751224,0.3059077016018763,0.044567721045738626
77,1927,0.032592326790553496,0.1296981098254278,0.057369799657277454
78,1928,0.05475140769165356,0.5256562891551358,0.08415690740136932
79,1929,0.07177320422977201,-0.1173322212464022,0.10554266843712043
80,1930,0.0850925594547883,0.4130042370005661,0.12102059594783718
81,1931,0.10447335205201921,0.4539805581738754,0.14213098961985648
82,1932,0.11794116021072694,0.3969618711398647,0.15513545553946137
83,1933,0.13374173384376195,-0.1018841448248513,0.17190478938132542
84,1934,0.1503798909914744,0.7311869712469972,0.19018905935616068
85,1935,0.17143197558616258,0.3328358993026665,0.21235076228841682
86,1936,0.18406017419045306,0.2747526102791867,0.2262904933421392
87,1937,0.18462507514458887,1.2285897102464136,0.22626691251694875
88,1938,0.1894470645453785,1.3714898210873816,0.232939855669621
89,1939,0.19391015464761857,0.6020582233457858,0.2362957652290935
90,1940,0.20586687681600133,1.000267943124905,0.24856936906055566
91,1941,0.20352392794739171,-0.0080913629701534,0.24598253504389894
92,1942,0.20613132540714055,0.4945691696600345,0.2478668180805736
93,1943,0.21472741585575786,1.2473768764434927,0.25610185771111416
94,1944,0.23279499488523087,1.1314248531878646,0.2756004908165792
95,1945,0.23676259224778695,0.6495140540395542,0.27979772846380446
96,1946,0.2395554299492963,0.0311218252604971,0.2814590717545694
97,1947,0.2358312669438301,1.0815702136293703,0.27760180582796623
98,1948,0.2368165539634059,0.1218911802251374,0.27597943611545583
99,1949,0.24004718318790935,0.2694295992929275,0.2758429901931202
100,1950,0.23940254922923412,0.2592902375300743,0.2751765055030968
101,1951,0.23051234221581557,0.1802661206444764,0.2654418339656533
102,1952,0.2287199293134566,0.3877554670047776,0.26345838637247565
103,1953,0.22549676626224366,0.944883597286138,0.2602147113035978
104,1954,0.22402963407807125,0.9055170683868216,0.25554223911826796
105,1955,0.20561384187018783,-0.1397085930588545,0.23400386841013782
106,1956,0.19761181696115537,0.1270266436219327,0.2244733405486802
107,1957,0.19818927056708313,0.0609735081984122,0.22341465851460854
108,1958,0.19892085774514986,-0.1348281536559109,0.22256078109328334
109,1959,0.19855872827138196,0.5855490186856408,0.2214264412030286
110,1960,0.20543953398227424,0.4439389794687656,0.22740392178851326
111,1961,0.21446355451357557,-0.12154322628122,0.23507694879270374
112,1962,0.20816935772281414,0.4502052108655803,0.22858639938963748
113,1963,0.20423314674433324,-0.2530767246336767,0.223488287639355
114,1964,0.20648890826446573,-0.6937908748871874,0.2238477363118147
115,1965,0.20600683156908883,-0.2216599432075039,0.22094879955607868
116,1966,0.2096551691806286,-0.7247230972182677,0.2247163097775468
117,1967,0.2118875232131839,0.3863125228653796,0.2266395053452456
118,1968,0.21973997487775082,-0.2565692975660521,0.2343382560084702
119,1969,0.22105970156166044,-0.0237791379601208,0.23555049829563818
120,1970,0.23146348508241466,-0.1863221542836659,0.24271930867831443
121,1971,0.24846817389547748,-0.042110149271753,0.2585954532998315
122,1972,0.2602792922777407,-0.2357466580753159,0.27236925085606256
123,1973,0.2676043638974733,0.1133057587945458,0.27769176257748723
124,1974,0.2810322726211646,-0.2255958993772794,0.29128458424736137
125,1975,0.2974073306113357,0.0135327813704616,0.30897906922142115
126,1976,0.3092668499620683,0.0330408003624311,0.32167705209645286
127,1977,0.3205760185912643,0.1490643748933127,0.3338866097554701
128,1978,0.34091661115848326,-0.1487651238980809,0.35177335535345067
129,1979,0.36226247370441655,-0.726790104868677,0.3740086561244763
130,1980,0.372445199416181,0.2584530695772704,0.38440152258406224
131,1981,0.3935607073844229,1.046480291732864,0.40657828623159353
132,1982,0.4202501005286618,-0.3642329064862121,0.433870416620442
133,1983,0.43182737061840754,0.0790996693546604,0.44506470931251696
134,1984,0.43684891162634926,0.2433327226527006,0.45088120286289024
135,1985,0.45704225931261283,0.4105357552710452,0.47136920558458384
136,1986,0.47925925961080396,-0.0601881281671229,0.4955614923187044
137,1987,0.5029995936308262,-0.3745795035082809,0.519994718256853
138,1988,0.5181869957848197,0.5946814590230607,0.5357258775101857
139,1989,0.5457655057324604,0.3021406713760873,0.5643436191776542
140,1990,0.5551982441228476,0.7268209523492501,0.5759755693489738
141,1991,0.5604476656412001,0.7867436239445204,0.5825640850112975
142,1992,0.5729286441801642,-0.1650435531641889,0.5945293936199295
143,1993,0.5958307774222584,0.5855259730040162,0.6199901722091796
144,1994,0.6094896944058565,0.3209223130060752,0.6359746974617267
145,1995,0.6307050776191967,1.3813901704613143,0.6569289848392541
146,1996,0.6562704213056667,0.8442351210288062,0.6847531113094021
147,1997,0.6768801240458018,0.712214874425336,0.7085815837018682
148,1998,0.6893793398017822,0.8811895028374962,0.7259984841103811
149,1999,0.6966718393641051,0.4897011777299969,0.735165343544328
150,2000,0.7158058881667805,0.9943157059155364,0.7560354459680941
151,2001,0.7290108287748865,1.0444194133702251,0.7720669763211128
152,2002,0.7356268155594741,1.3026272723313437,0.781913997090307
153,2003,0.7536133842566071,1.4629015821293163,0.8043872709081825
154,2004,0.7754486437957077,0.5579180782017914,0.8272195085412057
155,2005,0.7942508843475601,2.00081123845684,0.8489718194343441
156,2006,0.8160185812544618,1.850247450889648,0.8713492576091071
157,2007,0.8448823879300695,2.1948917647491037,0.9041297086706918
158,2008,0.862878547953202,1.6144401882616672,0.9251908545166719
159,2009,0.8694409178950494,1.4783199122826998,0.9343297163022175
160,2010,0.8940249037186719,2.3249893913805773,0.9626882958974863
161,2011,0.9205789053286267,2.429121990139849,0.992286103871986
162,2012,0.9323491079093905,2.2893347691748422,1.0058107516201626
163,2013,0.9443381329053093,1.490358909879215,1.0193770731829956
164,2014,,2.0868591645689665,
165,2015,,2.092388315623559,
166,2016,,3.2590646326562114,
167,2017,,2.510005112838709,
168,2018,,2.2298227594169617,
169,2019,,2.768191680784297,
170,2020,,2.9599617912767786,
171,2021,,2.0886066918595554,
172,2022,,2.289867119572622,
